schedule,command,target_repo,target_module,current_frequency,suggested_frequency,migration_status
"0 13 * * 0","/opt/investment/MarketGraph/deploy/job_collect_enterprise.sh",SharedSignals,collection,weekly_sun_13:00,weekly_sun_13:00,move
"0 20 * * 0","/opt/investment/MarketGraph/deploy/job_weekly_review.sh",tradingagent,review,weekly_sun_20:00,weekly_sun_20:00,move
"0 21 * * 0","/opt/investment/MarketGraph/deploy/job_weekly_calibrate.sh",MarketGraph,analysis,weekly_sun_21:00,weekly_sun_21:00,keep
"0 22 * * 1-5","/opt/investment/MarketGraph/deploy/job_daily_brief.sh",tradingagent,review,daily_22:00,daily_22:00,move
"0,30 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/job_news.sh",SharedSignals,collection,intraday_30min,intraday_30min,move
"0 3 * * 0","/opt/investment/MarketGraph/deploy/job_cache_warm_weekly.sh",SharedSignals,collection,weekly_sun_03:00,weekly_sun_03:00,move
"0 3 * * *","/opt/investment/MarketGraph/deploy/job_collect_enterprise.sh",SharedSignals,collection,daily_03:00,daily_03:00,move
"0 4 * * 0","/opt/investment/MarketGraph/deploy/job_archive_cleanup.sh",SharedSignals,collection,weekly_sun_04:00,weekly_sun_04:00,move
"0 4 * * 4","/opt/investment/MarketGraph/deploy/job_collect_financials.sh",SharedSignals,collection,weekly_thu_04:00,weekly_thu_04:00,move
"0 5 * * 1-5","/opt/investment/MarketGraph/deploy/job_collect_news.sh",SharedSignals,collection,daily_05:00,daily_05:00,move
"0 7,19 * * *","/opt/investment/MarketGraph/deploy/job_health_sweep.sh",SharedSignals,health,daily_07:00_19:00,daily_07:00_19:00,move
"0 8,18 * * *","/opt/investment/MarketGraph/deploy/job_collect_macro.sh",SharedSignals,collection,daily_08:00_18:00,daily_08:00_18:00,move
"0 8 * * 1","/opt/investment/MarketGraph/deploy/job_seasonal_context.sh",MarketGraph,analysis,weekly_mon_08:00,weekly_mon_08:00,keep
"0 9,17 * * 1-5","/opt/investment/MarketGraph/deploy/mg_agent/agent_announcements.sh",MarketGraph,analysis,intraday_2x,intraday_2x,keep
"10,25,40,55 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_repair.sh",MarketGraph,analysis,every_15min,every_15min,keep
"10 2,8,14,18 * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_macro.sh",MarketGraph,analysis,4x_daily,4x_daily,keep
"*/10 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/job_cache_warm_intraday.sh",SharedSignals,collection,intraday_10min,intraday_10min,move
"*/10 * * * *","/opt/investment/MarketGraph/deploy/job_runtime_checkpoint.sh",MarketGraph,health,every_10min,every_10min,keep
"15 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_cache_warm.sh",SharedSignals,collection,daily_16:15,daily_16:15,move
"15 9 * * 1-5","/opt/investment/MarketGraph/deploy/job_regime.sh",MarketGraph,analysis,daily_09:15,daily_09:15,keep
"*/15 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_radar.sh",MarketGraph,analysis,every_15min,every_15min,keep
"*/15 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/promote_chain.sh",MarketGraph,analysis,every_15min,every_15min,keep
"*/15 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/repair_pack.sh",MarketGraph,analysis,every_15min,every_15min,keep
"16 20 * * 1-5","/opt/investment/MarketGraph/deploy/job_collect_cross_market.sh",SharedSignals,collection,daily_20:16,daily_20:16,move
"17 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_cache_warm_extended.sh",SharedSignals,collection,daily_16:17,daily_16:17,move
"17 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_reaction.sh",MarketGraph,analysis,hourly,hourly,keep
"20 16 * * 1-5","/opt/investment/MarketGraph/deploy/mg_agent/agent_attribution.sh",MarketGraph,analysis,daily_16:20,daily_16:20,keep
"*/2 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/mg_agent/agent_technical.sh",MarketGraph,analysis,intraday_2min,intraday_2min,keep
"30 20 * * 0","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/deploy/refresh_trade_calendar.py",SharedSignals,collection,weekly_sun_20:30,weekly_sun_20:30,move
"30 8,12,16 * * *","/opt/investment/MarketGraph/deploy/job_fx_rates.sh",SharedSignals,collection,3x_daily,3x_daily,move
"30 8,20 * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_ushk.sh",MarketGraph,analysis,2x_daily,2x_daily,keep
"*/30 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/mg_agent/agent_market_depth.sh",MarketGraph,analysis,intraday_30min,intraday_30min,keep
"32 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_daily_brief.sh",tradingagent,review,daily_16:32,daily_16:32,move
"40 23 * * *","/opt/investment/MarketGraph/deploy/job_derived_refresh.sh",SharedSignals,collection,daily_23:40,daily_23:40,move
"45 20 * * 1-5","/opt/investment/MarketGraph/deploy/mg_agent/postclose_review.sh",MarketGraph,analysis,daily_20:45,daily_20:45,keep
"3,18,33,48 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_concept.sh",MarketGraph,analysis,every_15min,every_15min,keep
"9,24,39,54 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_enterprise.sh",MarketGraph,analysis,every_15min,every_15min,keep
"*/5 * * * *","/opt/investment/MarketGraph/deploy/job_sentiment_fast_promote.sh",MarketGraph,analysis,every_5min,every_5min,keep
"6,21,36,51 * * * *","/opt/investment/MarketGraph/deploy/mg_agent/agent_chain.sh",MarketGraph,analysis,every_15min,every_15min,keep
"* 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/job_intraday_snapshot_loop.sh",SharedSignals,collection,intraday_continuous,intraday_continuous,move
"@reboot","/opt/investment/MarketGraph/deploy/job_rss_collector.sh",SharedSignals,collection,reboot,reboot,move
"*/30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_shadow.sh",tradingagent,trading,every_30min,every_30min,move
"*/30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_forward.sh",tradingagent,trading,every_30min,every_30min,move
"2-59/10 * * * *","/opt/investment/tradingagent/shared/wrappers/job_pm_research_probability.sh",tradingagent,trading,every_10min,every_10min,keep
"0 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_optimize.sh",tradingagent,trading,hourly,hourly,move
